,body,category_info.name,epoch_time,id,location_info.address,location_info.plz,price,subject,type,user_alias,rooms,size,type_param
0,"Sur deux niveaux. Quatre chambres Ã  l'Ã©tage. Bel espace de vie au rez-de-jardin avec cuisine ouverte et terrasse.
 
TrÃ¨s bon Ã©tat gÃ©nÃ©ral.
 
Deux jolies piÃ¨ces additionnelles sous les combles aujourd'hui amÃ©nagÃ©es en dressing et en bureau.
 
Environ 170 m2 habitables sur une parcelle gazonnÃ©e de 1010 m2.
 
Buanderie, garage et places de parc, deux salles de bains, WC visiteurs.
 
A moins de 5 minutes des transports et du centre commercial, ainsi que de Lausanne et de l'autoroute.",Maisons,1542978625,24826554,,1066, 1'580'000.-,Belle maison moderne et confortable Ã  vendre,s,JustImmo,5.5,170m²,Offres de vente
1,"Ã€ louer au Boveresses 73 1010 lausanne , 
une grande Apartement de 3,5 et 90 mÃ¨tre une cuisine agencÃ© avec grand balcon . Prix : 1470 charges compris. Libre : 15/10/2018 TÃ©lÃ© pour visiter madame mrassi :",Appartements,1542977489,23588353,,1010, 1'470.- par mois,Appartement Ã  louer,u,ImmoArena24,3.5,90m²,Offres de location
2,"Appartement dans un petit immeuble comprenant :

- Cuisne entièrement agencée avec un lave-vaisselle.
- Hall avec des armoires murales.
- Parquet dans le salon donnant l'accès sur un balcon.
- Coin salle à manger avec du parquet.
- 2 Chambres à coucher avec du parquet.
- Salle de bains avec un wc-séparé.
- Cave, balcon, ascenseur, interphone.

Dans un quartier calme est verdoyant. Proche des transports publics ainsi que des commerces. Proche de l'accès autoroutier.

Idéal pour une famille

Possibilité de louer  une place de parc intérieur à 150 CHF / par mois.",Appartements,1542974009,24825255,Avenue de Gratta-Paille 15,1018, 1'980.- par mois,Dans les hauts de Lausanne avec vue sur le la,u,Livit SA,3.5,77m²,Offres de location
3,"Au sein d'un bâtiment idéalement situé à deux pas du centre commercial Malley Lumières, nous vous proposons ce bel appartement au bénéfice des qualités suivantes : 

- Cuisine ouverte équipée et agencée (four, frigo et cuisinière) 
- Séjour avec du parquet 
- Chambres à coucher avec du parquet 
- Salle de bain 
- Ascenseur
- Balcon 
- Cave 

Vous pourrez rejoindre le centre-ville de Lausanne en 8 minutes grâce au train dont la station se trouve à 1 minute de l'immeuble.

Avons-nous éveillé votre intérêt? Alors n'hésitez pas à nous contacter pour obtenir plus d'information.",Appartements,1542974009,24825246,Chemin de la Gravière 4,1007, 1'975.- par mois,Quartier de l'Ouest-Lausannois,u,Livit SA,3.5,73m²,Offres de location
4,"Dans le calme et la verdure magnifique appartement traversant de 3 pièces et hall avec cuisine agencée, salle de bains/WC, WC séparés, balcon, parquet au sol. 

Immeuble raccordé à la fibre optique 

Proche de l'UNIL, EPFL et IMD. Bus et M1",Appartements,1542961891,22536286,Ch. de Pierreval 8,1007, 1'980.- par mois,Dans le calme et la verdure appartement de 3.,u,Prestim SA,3.5,,Offres de location
5,"Appartement de 3 pièces au 3ème étage qui bénéficie d'un envrionnement particulièrement calme et verdoyant.

En effet, implanté à proximité  des écoles, transports publics, commerces, axes autoroutiers (Lausanne Blécherette), ce logement est idéalement situé.

Places de parc extérieures et intérieures disponibles. 

Visites groupées le : mercredi 28 novembre 2018 de 18h00 à 1900 et jeudi 6 décembre 2018 de 18h00 à 19h00 également. 

BAIL DE DUREE DETERMINEE DE 5 ANS. NON RENOUVELABLE. POSSIBILITES DE RESILIATION PAR LE LOCATAIRE PENDANT LA DUREE FIXE.

Seuls les dossiers complets seront pris en considération, soit :
- formulaire d'inscription dûment rempli (disponible sur notre site internet)
- attestation de l'Office des Poursuites récente (max. 3 mois)
- dernières fiches de salaire
- copie de pièce d'identité ou du permis de séjour (B ou C)",Appartements,1542950520,24819688,Chemin du Furet 12,1018, 1'880.- par mois,"Dans cadre calme et verdoyant, beau 3 pièces",u,Apleona Real Estate SA,3,64m²,Offres de location
6,"Appartement de 4 pièces au 3ème étage sis Chemin du Cap 16 à Lausanne, comprenant : Hall avec armoire murale, cuisine agencée, séjour, 3 chambres à coucher, salle-de-bains/WC, balcon.

Loyer : CHF 1'700.- + 150 .- charges.

Libre de suite",Appartements,1542950520,24819661,Chemin du Cap 16,1006, 1'700.- par mois,Chemn du Cap 16 - Lausanne,u,Ifomob S.A,4,,Offres de location
7,"Cuisine : fenêtre, habitable fermée / Agencement : frigo, hotte ventilation, lave-vaisselle, vitrocéram / Caractéristiques : balcon, hall, réduit, cave",Appartements,1542950520,24819649,av. collonges 35,1004, 1'570.- par mois,Appartement,u,galland & cie sa,2.5,61m²,Offres de location
8,"Appartement comprenant :
- Hall d'entrée avec armoires murales,
- Cuisine agencée ouvert,
- WC séparé,
- Salle-de-bains/WC,
- Terrasse.
- Cave.

Possibilité de louer une place de parc intérieure à CHF 140.-/mois et/ou une place de parc extérieure à CHF 60.-/mois.

------------------------------------------------------------------------------------
En cas d'intérêt pour l'objet, merci de nous transmettre les documents suivants :

- Demande de location ().
- 3 dernières fiches de salaire.
- Extrait de l'office des poursuites.
- Copie de la carte d'identité/permis de séjour.",Appartements,1542950520,24819635,Champ-Pamont 2A,1033, 1'670.- par mois,"Situé dans un quartie, à 10 minutes de Lausan",u,Wincasa Agence Lausanne,3.5,71m²,Offres de location
9,"Appartement comprenant : 1 hall d'entrée, 1 couloir  1 séjour, 1 chambre, 1 cuisine habitable, 1 balcon, 1 salle-de-bains, 1 cave à bien plaire.

L'immeuble se situe sous-gare proche de toutes commoditées, des transports publics, des commerces et écoles. 

Visites groupées les jeudis 27.11.2018 de 18h00 à 19h00 et 6.12.2018 de 18h00 à 19h00 également. 

BAIL DE DUREE DETERMINEE JUSQU'AU 31 AOUT 2019. AUCUNE PROLONGATION POSSIBLE POUR CAUSE DE RENOVATION

Seuls les dossiers complets seront pris en considération, soit :
- formulaire d'inscription dûment rempli (disponible sur notre site internet)
- attestation de l'Office des Poursuites récente (max. 3 mois)
- dernières fiches de salaire
- copie de pièce d'identité ou du permis de séjour (B ou C)",Appartements,1542950520,24819604,Avenue Dapples 22,1006, 1'750.- par mois,A louer de suite 2 pièces,u,Apleona Real Estate SA,2,59m²,Offres de location
